,genotype,origin,treatment,stage,id,dam,rep1,rep2
10AC,10,in,Control,Adult,10,A,1,0
10AH,10,in,Heat,Adult,10,A,0,1
10CL,10,in,Control,Recruit,10RC,10,1,0
10HL,10,in,Heat,Recruit,10RH,10,1,0
16AC,16,in,Control,Adult,16,B,1,0
16AH,16,in,Heat,Adult,16,B,0,1
16CL,16,in,Control,Recruit,16RC,16,1,0
16HL,16,in,Heat,Recruit,16RH,16,1,0
18AC,18,in,Control,Adult,18,C,1,0
18AH,18,in,Heat,Adult,18,C,0,1
18CL,18,in,Control,Recruit,18RC,18,1,0
18HL,18,in,Heat,Recruit,18RH,18,1,0
22AC,22,in,Control,Adult,22,C,1,0
22AH,22,in,Heat,Adult,22,C,0,1
22CL,22,in,Control,Recruit,22RC,22,1,0
22HL,22,in,Heat,Recruit,22RH,22,1,0
29AC,29,off,Control,Adult,29,D,1,0
29AH,29,off,Heat,Adult,29,D,0,1
29CL,29,off,Control,Recruit,29RC,29,1,0
29HL,29,off,Heat,Recruit,29RH,29,1,0
31AC,31,off,Control,Adult,31,E,1,0
31AH,31,off,Heat,Adult,31,E,0,1
31CL,31,off,Control,Recruit,31RC,31,1,0
31HL,31,off,Heat,Recruit,31RH,31,1,0
35AC,35,off,Control,Adult,35,F,1,0
35AH,35,off,Heat,Adult,35,F,0,1
35CL,35,off,Control,Recruit,35RC,35,1,0
35HL,35,off,Heat,Recruit,35RH,35,1,0
46AC,46,off,Control,Adult,46,G,1,0
46AH,46,off,Heat,Adult,46,G,0,1
46CL,46,off,Control,Recruit,46RC,46,1,0
46HL,46,off,Heat,Recruit,46RH,46,1,0
47AC,47,off,Control,Adult,47,H,1,0
47AH,47,off,Heat,Adult,47,H,0,1
47CL,47,off,Control,Recruit,47RC,47,1,0
6AC,6,in,Control,Adult,6,I,1,0
6AH,6,in,Heat,Adult,6,I,0,1
6CL,6,in,Control,Recruit,6RC,6,1,0
6HL,6,in,Heat,Recruit,6RH,6,1,0
7AC,7,in,Control,Adult,7,J,1,0
7AH,7,in,Heat,Adult,7,J,0,1
7CL,7,in,Control,Recruit,7RC,7,1,0
7HL,7,in,Heat,Recruit,7RH,7,1,0
8AC,8,in,Control,Adult,8,K,1,0
8AH,8,in,Heat,Adult,8,K,0,1
8CL,8,in,Control,Recruit,8RC,8,1,0
8HL,8,in,Heat,Recruit,8RH,8,1,0